,Area,equivalent_diameter,orientation,MajorAxisLength,MinorAxisLength,Perimeter,MinIntensity,MeanIntensity,MaxIntensity
1,3.1239292599999997,1.9943696419639096,8.339127286380707,2.8392710199958002,1.548805051035169,7.2736779269443055,255.0,255.0,255.0
2,0.09969987,0.35628895167960917,0.0,0.5953893068124978,0.0,0.1823,255.0,255.0,255.0
3,0.13293316,0.41140704432302383,0.0,0.8152703845964233,0.0,0.3646,255.0,255.0,255.0
4,2.72512978,1.862724617443876,-32.09194440421669,4.206586185660801,0.9786827883397575,8.69543378083292,255.0,255.0,255.0
5,66.06778052,9.17170163006557,-16.80315905596525,18.11077786169214,9.661296930430257,74.38414779003658,255.0,255.0,255.0
6,2.82482965,1.896492767589792,68.82912466388433,3.5606373912483886,1.1183383515661351,7.802255853888614,255.0,255.0,255.0
7,0.23263303,0.5442403634494243,-79.09932353989771,0.6651517396232114,0.45680888248035434,1.3203333972618456,255.0,255.0,255.0
8,0.16616645,0.4599670587642752,18.43495541459913,0.5648358912108896,0.3261081538385693,0.9492555662103076,255.0,255.0,255.0
9,3.25686242,2.0363609760810726,-16.438610059093072,4.536458050900749,0.990633440561627,9.593978118729842,255.0,255.0,255.0
10,2.69189649,1.8513316994536075,84.44014648711793,2.206978479993303,1.5887818991030436,6.010533589047381,255.0,255.0,255.0
11,4.42002757,2.3722887452718875,-11.88629704450973,4.410146635811392,1.7675800066060188,10.580989251150458,255.0,255.0,255.0
12,0.63143251,0.8966408654324098,-67.39191936569571,1.0700671558769677,0.7700842364448558,2.5651556621030758,255.0,255.0,255.0
13,0.89729883,1.0688668550388274,-70.23870947925111,1.244306064612214,0.9313835940672672,3.1433333972618454,255.0,255.0,255.0
14,2.7915963599999998,1.8853039220483092,-87.56044055771154,4.3094939413595075,0.9733223112891576,9.027644625575228,255.0,255.0,255.0
15,10.368786479999999,3.6334486341836882,-19.5893715031489,4.305733044773771,3.3124923534222366,13.567933972618457,255.0,255.0,255.0
